"LIBRARYREFERENCE","FOOTPRINT1","","-3DB BANDWIDTH","ACCESS TIME","ACCESS TIME-MAX","ACCURACY","ACTUATOR MATERIAL","ADDRESS BUS WIDTH","AMPLIFIER TYPE","AMPLIFIERS PER PACKAGE","APPLICATION(S)","APPROVALS","AUTOMOTIVE","AVERAGE RECTIFIED CURRENT","BACKLIGHT TYPE","BANDWIDTH","BOARD STANDOFF","BOARD THICKNESS","BODY MATERIAL","BRAND","BREAKDOWN VOLTAGE","CABLE LENGTH","CAPACITANCE","CARD THICKNESS","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","CHANNEL TYPE","CIRCUIT APPLICATION","CIRCUIT TYPE","CLAMPING VOLTAGE","CLOCK EDGE TRIGGER TYPE","CMRR(MIN)(DB)","CODE_JEDEC","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL TYPE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMON MODE REJECTION RATIO","COMPLIANCE","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK12DESCRIPTION","COMPONENTLINK12URL","COMPONENTLINK13DESCRIPTION","COMPONENTLINK13URL","COMPONENTLINK14DESCRIPTION","COMPONENTLINK14URL","COMPONENTLINK15DESCRIPTION","COMPONENTLINK15URL","COMPONENTLINK16DESCRIPTION","COMPONENTLINK16URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR SYSTEM","CONNECTOR TYPE","CONSTRUCTION","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT LOCATION","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT POST LENGTH","CONTACT RESISTANCE","CONTACT SHAPE","CONTACT TYPE","CONTINUOUS DRAIN CURRENT (ID)","CONVERSION RATE","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT - INPUT BIAS (MAX)","CURRENT - OUTPUT (TYP)","CURRENT - OUTPUT 1","CURRENT - QUIESCENT (MAX)","CURRENT RATING","DATA BUS WIDTH","DATA RATE","DATASHEET URL","DATASHEET VERSION","DATASHEETVERSION","DC COLD RESISTANCE","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICE CLASS L1","DEVICE CLASS L2","DEVICE CLASS L3","DIAGONAL SIZE","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIFFERENTIAL NONLINEARITY","DIFFERENTIAL OUTPUT","DIGIKEY DESCRIPTION","DIMMING","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DRAIN-SOURCE ON RESISTANCE-MAX","DRAIN-TO-SOURCE VOLTAGE [VDSS]","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","DUTY CYCLE","ECO-PLAN","EDA / CAD MODELS","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENTRANCE","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EVALUATION KIT","FACTORY PACK QUANTITY","FALL TIME","FAMILY","FASTENING TYPE","FAULT PROTECTION","FEATURES","FET TYPE","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FULL SCALE ERROR","FUNCTION","FUSE BLOW SPEED","FUSE CURRENT","FUSE TYPE","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GENERIC PART NUMBER","HALOGEN FREE","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","IIB(MAX)(PA)","ILLUMINATION COLOR","IMPEDANCE","INDEPENDENT CIRCUITS","INDUCTANCE","INDUCTANCE TOLERANCE","INDUCTOR TYPE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE","INPUT OFFSET VOLTAGE (VOS)","INPUT RESISTANCE","INPUT TYPE","INPUT VOLTAGE NOISE DENSITY","INSULATION MATERIAL","INSULATION RESISTANCE","INTEGRAL NONLINEARITY (INL)","INTERFACE","IPC7352C","IQ PER CHANNEL(MAX)(MA)","IQ/AMP","ISOLATED POWER","ISOLATION","ISOLATION VOLTAGE","ISOLATION VOLTAGE-MAX","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAD/BASE STYLE","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS SIZE","LENS STYLE","LENS TRANSPARENCY","LIFE (HOURS)","LOAD CAPACITANCE","LOAD CURRENT","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS FLUX","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER NAME","MANUFACTURER PART NO.","MANUFACTURER PART NUMBER","MANUFACTURER URL","MATERIAL","MATING ALIGNMENT","MATING CONNECTOR LOCK","MATING CYCLES","MATING RETENTION","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX DUTY CYCLE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX FUSE AC VOLTAGE","MAX FUSE DC VOLTAGE","MAX I/O VOLTAGE","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX INPUT VOLTAGE (DC)","MAX JUNCTION TEMP","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT POWER","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE CURRENT","MAX REVERSE LEAKAGE CURRENT","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SUPPLY VOLTAGE (AC)","MAX SUPPLY VOLTAGE (DC)","MAX SURGE CURRENT","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MAXIMUM OPERATING TEMPERATURE","MEMORY SIZE","MEMORY TYPE","MILITARY STANDARD","MIN BREAKDOWN VOLTAGE","MIN CURRENT LIMIT","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN INPUT VOLTAGE (DC)","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN SUPPLY VOLTAGE (DC)","MINIMUM OPERATING TEMPERATURE","MOUNT","MOUNTING STYLE","MOUNTING TECHNOLOGY","MOUNTING TYPE","MOUSER DESCRIPTION","NATURAL THERMAL RESISTANCE","NO. OF WAYS","NOMINAL INPUT VOLTAGE","NOMINAL OUTPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF ANALOG INPUTS","NUMBER OF BIDIRECTIONAL CHANNELS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CONVERTERS","NUMBER OF CORES PER JACK","NUMBER OF D/A CONVERTERS","NUMBER OF DAC CHANNELS","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF ETHERNET CHANNELS","NUMBER OF GATES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEDS","NUMBER OF LEVELS","NUMBER OF LINES","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS LOADED","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVE BUFFERS","NUMBER OF RECEIVERS","NUMBER OF REGULATORS","NUMBER OF RESISTORS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TAPS","NUMBER OF TERMINALS","NUMBER OF TERMINALS/PINS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMIT BUFFERS","NUMBER OF TRANSMITTERS","NUMBER OF TURNS","NUMBER OF UART CHANNELS","NUMBER OF UNIDIRECTIONAL CHANNELS","NUMBER OF VOLTAGES MONITORED","NUMBER OF WORDS","OCTOPART","OFFSET DRIFT(TYP)(UV/C)","ONLINE CATALOG","ON-STATE RESISTANCE","ON-STATE RESISTANCE-MAX","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","OPERATING TEMPERATURE","OPERATING TEMPERATURE RANGE","ORGANIZATION","ORIENTATION","OTHER NAMES","OTHER RELATED DOCUMENTS","OUTPUT COMPATIBILITY","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT POLARITY","OUTPUT POWER","OUTPUT TYPE","OUTPUT VOLTAGE","OUTPUT VOLTAGE ACCURACY","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE / CASE","PACKAGE DESCRIPTION","PACKAGE QUANTITY","PACKAGE REFERENCE","PACKAGE URL","PACKAGE VERSION","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PART NUMBER","PARTNUMBER","PCB MOUNT ALIGNMENT","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PCBCHECKED","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PIN DIAMETER","PIN LENGTH","PIN NUMBER","PITCH","PLATING","POLARITY","PORT","POWER CONSUMPTION","POWER DISSIPATION","POWER LINE PROTECTION","POWER PER ELEMENT","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICING 1","PRICING 2","PRODUCT CATEGORY","PROPAGATION DELAY","PROPAGATION DELAY TIME NS","PUBLISHER","PULSE WIDTH DISTORTION (PWD)","Q FACTOR","QG GATE CHARGE","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RATED CURRENT","RATED POWER DISSIPATION","RATING","RATINGS","RDS ON MAX","REACH SVHC","REACH SVHC COMPLIANT","RECEIVER HYSTERESIS","RECOVERY TIME","REFERENCE TYPE","REFERENCE VOLTAGE","RELAY TYPE","RELEASE TIME","RESET","RESET TIMEOUT","RESISTANCE","RESISTANCE TOLERANCE","RESISTOR TYPE","RESOLUTION","RESOLUTION (HEIGHT)","RESOLUTION (WIDTH)","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE STANDOFF VOLTAGE","REVERSE VOLTAGE","REVERSE VOLTAGE (DC)","RIPPLE CURRENT","RIPPLE CURRENT (AC)","RISE TIME","RMS CURRENT (IRMS)","ROHS","ROHS COMPLIANT","ROW SPACING","SAMPLING RATE","SATURATION CURRENT","SCHCHECKED","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SERIES","SERIES RESISTANCE","SETTLING TIME","SHELL MATERIAL","SHIELDING","SHROUDED","SHROUDED END DIMENSION","SHUTDOWN","SIGNAL TO NOISE RATIO (SNR)","SIMPLEX/DUPLEX","SIZE","SIZE CODE","SLEW RATE","SLEW RATE(TYP)(V/US)","SMALL SIGNAL BANDWIDTH","STACK HEIGHT","STANDARD PACKAGE","STANDOFF HEIGHT","STOCK 1","STOCK 2","SUB FAMILY","SUPPLIER 1","SUPPLIER 2","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY CURRENT","SUPPLY TYPE","SUPPLY VOLTAGE-NOM","SWITCHING FREQUENCY","SYNC/ASYNC","SYNCHRONOUS RECTIFIER","TAIL LENGTH","TAPER","TECHNOLOGY","TEMPERATURE","TEMPERATURE COEFFICIENT","TEMPERATURE RANGE HIGH","TEMPERATURE RANGE LOW","TERMINAL MATERIAL","TERMINAL PITCH","TERMINATION","TEST CURRENT","TEST FREQUENCY","TEST VOLTAGE","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TOLERANCE","TOPOLOGY","TOTAL SUPPLY VOLTAGE(MAX)(+5V IS 5, +/-5V IS 10)","TOTAL SUPPLY VOLTAGE(MIN)(+5V IS 5, +/-5V IS 10)","TOUCHSCREEN","TRANSITION FREQUENCY","TRIP CURRENT","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","USB STANDARD","V SPAN MAX","V SPAN MIN","VALUE","VIEWING ANGLE","VIO (25C)(MAX)(MV)","VOLTAGE","VOLTAGE - INPUT OFFSET (MAX)","VOLTAGE - OUTPUT 1","VOLTAGE - OUTPUT 2","VOLTAGE - SUPPLY, SINGLE/DUAL (±)","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","VOLTAGE TOLERANCE","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE GAUGE","WIRE/CABLE TYPE","WITHSTANDING VOLTAGE","WORD SIZE","WORKING VOLTAGE","ZENER CURRENT","ZENER VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"BAT_79523211","BAT_79523211-with-Battery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79523211","","","","","","","","","","","","","","","","","https://datasheet.ciiva.com/70868/79523211-70868826.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/70868/79523211-70868826.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","done","","","","","","","","","","","","","","","","","","","","","","","","","Wurth Electronics","","","79523211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","initials after Checked","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","","","Initials after checked","","","","","","","","","","","","","","","","","","","","","","697","","","Digi-Key","","","732-12324-ND","","","","","","","","","","","","","","","","","PC Pin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XBR?","BATTERY RETAINER COIN PC PIN THT for 2016, 2020, 2025 2032."
"B_F/SMD-03ALF","F/SMD-03_Buzzer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CON-10018783-11111TLF","10018783-11111TLF _kor","","","","","","","","","","","","","","","","","2.36mm","","","","","","0.062inch","","","","Card Edge Connectors","","","","","","","","","","","","","","","","","Black","10018783-11111TLF","","","","","","","","","","","","","","","","","https://datasheet.ciiva.com/11732/0900766b807b50f6-11732962.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/11732/0900766b807b50f6-11732962.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/14636/0900766b807b50f6-14636453.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/14636/0900766b807b50f6-14636453.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/417/10018783-417603.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/417/10018783-417603.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/5671/gs-12-233-532843-5671048.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/5671/gs-12-233-532843-5671048.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/16666/10018783-16666568.pdf?src-supplier=Avnet+Europe","https://datasheet.ciiva.com/16666/10018783-16666568.pdf?src-supplier=Avnet+Europe","https://datasheet.ciiva.com/3099/10018783-3099434.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/3099/10018783-3099434.pdf?src-supplier=Avnet","","","","","","","","","Cantilever","","","","","Copper Alloy","","Gold,Tin,Matte","","30mR","","","","","","","","","","","","1.1A","","","","","","","","","","8.8mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","Female","","","11.25mm","","","","","","Black","Nylon","","","","","","","","","","","","","","","","Nylon","1GR","","","initials after Checked","","","","","","","","Lead Free","","1mm","","","39mm","","","","","","","","","","","","Amphenol FCI","","","10018783-11111TLF","","Nylon,Glass","","","50","","","","","","","","","","","","","","","","","85∞C","","","","","","","","","","","","","","","300V","","","","","","","","","","","-55∞C","","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","64","","","","","","","","","","","","","","","","","","","","","64","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","Straight","","","","","","","","","","","","","","","","60","","","","","","","Tray","","","","","","initials after Checked","","","","","","","3.1mm","","2mm","","","","","","","","","","","","","","","","","","","","","","","","","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","2mm","","","initials after Checked","","","","","","","","","","","","","","","","","","","","","","3867","","","Digi-Key","","","609-1996-ND","","","","","","","","2.36mm","","","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300V","","","","","11.25mm","","","","","","","","","","","X?","AMPHENOL ICC (FCI) - 10018783-11111TLF - CONNECTOR, PCI, 2X32WAY"
"CON-615008138221","RJ45-V-615008138221","","","","","","","","","","","","","","","","","","","","","","","","","","","Connectors","","","","","","","","","","","","","","","","","Black","615008138221","","","","","","","","","","","","","","","","","https://datasheet.ciiva.com/685/615008138221-685840.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/685/615008138221-685840.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/11726/0900766b80f88675-11726117.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/11726/0900766b80f88675-11726117.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/4561/615008138221-83706-4561590.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/4561/615008138221-83706-4561590.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/1108/1666696-1108142.pdf?src-supplier=Element14","https://datasheet.ciiva.com/1108/1666696-1108142.pdf?src-supplier=Element14","https://datasheet.ciiva.com/48689/001088217-da-01-en-wr-com-modular-jack-615008138221-48689543.pdf?src-supplier=Conrad","https://datasheet.ciiva.com/48689/001088217-da-01-en-wr-com-modular-jack-615008138221-48689543.pdf?src-supplier=Conrad","","","","","","","","","","","Jack,RJ45,Socket","","","","","Copper Alloy,Copper","","Gold","","","","","","","","","","","","","","1.5A","","","","","","","","","","16.4mm","","","","","","","","","","","","User Selectable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","16.65mm","","","","","","","PBT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.65mm","","","","","","","","","","","","Wurth Electronics","","","615008138221","","","","","500","","","","","","","","","","","","","","","","","85∞C","","","","","","","","","","","","","","","","","","","","","","","","","","-40∞C","","","","","","Through Hole","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","1","8","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Vertical","","","","","","","","","","","","","","","","80","","","","","","","Tray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","Shielded","","","","","","","","","","","","","","4282","","","Digi-Key","","","732-2743-ND","","","","","","","","","","","","","","","","","Through Hole","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125V","","","","","","15.9mm","","","","","","","","","","","X?","WURTH ELEKTRONIK - 615008138221 - JACK, RJ45, VERT, 8P8C, SHIELDED"
"CON-Hirose-FH12-40S-0.5SV(55)-0.5mm","T_Hirose_FH12-40S-0.5SV(55)","","","","","","Polyphenylene","","","","","","","","","","","","","","","","","","","","","FFC / FPC","","","","","","","","","","","","","","","","","","FH12-40S-0.5SV(55)","","","","","","","","","","","","","","","","","https://datasheet.ciiva.com/17080/0900766b80d985fc-17080802.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/17080/0900766b80d985fc-17080802.pdf?src-supplier=Allied+Electronics","https://datasheet.ciiva.com/11745/0900766b80d985fc-11745635.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/11745/0900766b80d985fc-11745635.pdf?src-supplier=RSComponents","https://datasheet.ciiva.com/15176/getdatasheetpartid-447850-15176861.pdf?src-supplier=Verical","https://datasheet.ciiva.com/15176/getdatasheetpartid-447850-15176861.pdf?src-supplier=Verical","https://datasheet.ciiva.com/7661/58816-7661390.pdf?src-supplier=Element14","https://datasheet.ciiva.com/7661/58816-7661390.pdf?src-supplier=Element14","","","","","","","","","","","","","","","","","","Bronze","","Gold","","50mR","","","","","","","","","","","","500mA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","Female","","","","","","","","","Beige","Polyamide","","","","","","","","","","","","","","","","","500MR","","","","","","","","","","","Lead Free","","","","","23.4mm","","","","","","","","","","","","Hirose","Hirose","FH12-40S-0.5SV(55)","FH12-40S-0.5SV(55)","","Nylon","","","","","","","400mA","","","","","","","","","","","","","85∞C","","","","","","","","","","","","","","","50V","","","","","","","","","","","-40∞C","","","","","","Surface Mount","","","","","","24","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Straight","","","","","","","","","","","","","","","","1000","","","","","","","Tape and Reel","","","","","","","","","","","","","","","0.5mm","","","","","","","","","","1=2,32000, 10=2,21000, 50=2,11000, 100=2,00000, 250=1,89000, 500=1,68000 (EUR)","","","","","","","","","","","","","","","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Farnell","","","1324583","","","","","","","","","","","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50V","","","","","","3.8mm","","","","Straight","","","","","","","X?","CONN FFC VERT 40POS 0.50MM SMD"
"CON-TE-14730051-200-0.6mm","T_TE_14730051","","","","","","","","","","","","","","","","","","","","","","","","","","","Memory Connectors","","Power","","","","","","","","","","","","","","","","14730051","","","","","","","","","","","","","","","","","https://datasheet.ciiva.com/19460/898818-19460721.pdf?src-supplier=Jameco","https://datasheet.ciiva.com/19460/898818-19460721.pdf?src-supplier=Jameco","https://datasheet.ciiva.com/15171/getdatasheetpartid-93506-15171477.pdf?src-supplier=Verical","https://datasheet.ciiva.com/15171/getdatasheetpartid-93506-15171477.pdf?src-supplier=Verical","https://datasheet.ciiva.com/16314/eng-cd-1473005-j2-16314265.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16314/eng-cd-1473005-j2-16314265.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/1105/582309-1105220.pdf?src-supplier=Element14","https://datasheet.ciiva.com/1105/582309-1105220.pdf?src-supplier=Element14","https://datasheet.ciiva.com/14156/04821302-14156310.pdf?src-supplier=Distrelec","https://datasheet.ciiva.com/14156/04821302-14156310.pdf?src-supplier=Distrelec","https://datasheet.ciiva.com/682/eng-cd-1473005-j2-682632.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/682/eng-cd-1473005-j2-682632.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/3136/eng-cd-1473005-j-3136059.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/3136/eng-cd-1473005-j-3136059.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/16469/eng-cd-1473005-j-16469341.pdf?src-supplier=Avnet+Asia","https://datasheet.ciiva.com/16469/eng-cd-1473005-j-16469341.pdf?src-supplier=Avnet+Asia","","","","Cable-to-Board","Socket","","500mA","","","Copper Alloy","","Gold","","","","","","","","","","","","","","","","","","","","","","","","26mm","","","","","","","","","","","","","","","","","","","","","","","","","","","Compliant","","","","","","","","","","","","","UL94 V-0","","","","","","","","","","","","","Female","","","5.2mm","","","","","","Black","Thermoplastic","","","","","","","","","","","","","","","","Thermoplastic","250MR","","","initials after Checked","","","","","","","","Lead Free","","","","","71.5mm","","","","","","","","","","","","TE Connectivity","","","14730051","","","","","","","","","","","","","","","","","","","","","","185∞C","","","","","","","","","","","","","","","","","","","DDR SDRAM","","","","","","","-67∞C","","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","200","","","200","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","Right Angle","","","","","","","","","","","","","","","","20","","","","","","","Tray","","","","With","","initials after Checked","","","","","","","","","0.024inch","","","","","","","","","","","","","","","","","","","","No","","","","","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","0.244inch","","","initials after Checked","","No (Without)","","","","","","","","","","","","","","","","","5.2mm","","","","","","Newark","","","","","","","","","","","","","","","","","","","","Solder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5V","","","","","","","","","","","","","","","","","X?","Conn SO DIMM Socket SKT 200 POS 0.6mm Solder RA SMD Tray"
